Date,Daily_Attacks,Fatalities,Tanker_Transit_Calls,ME_Prodn_Cuts_MMbd,Inflation_Pressure_Idx,Plastics_Price_Ann_Chg,Estimated_CO2_Tonnes,Conflict_Intensity_Index,Oil_Shock_Indicator,Env_Impact_Score,Oil_Price,Gold,Stock_Index,Market_Volatility_Measure
2026-03-01,900,120,45,0.0,65.0,15.0,1818984,88.7,0.0,100.0,77.74,5294.4,6881.62,21.44
2026-03-02,260,48,42,0.0,65.0,15.0,525484,29.9,3.3,28.9,77.74,5294.4,6881.62,21.44
2026-03-03,220,35,40,1.8,68.0,18.0,444641,23.5,15.6,24.4,81.4,5107.4,6816.63,23.57
2026-03-04,215,95,38,1.8,69.0,19.0,434535,42.6,17.8,23.9,81.4,5120.2,6869.5,21.15
2026-03-05,210,155,35,1.8,70.0,20.0,424430,61.7,21.1,23.3,85.41,5065.3,6830.71,23.75
2026-03-06,213,127,33,2.37,70.7,21.7,430493,52.8,26.5,23.7,92.69,5146.1,6740.02,29.49
2026-03-07,217,98,32,2.93,71.3,23.3,438577,43.7,30.7,24.1,92.69,5146.1,6740.02,29.49
2026-03-08,220,70,30,3.5,72.0,25.0,444641,34.8,36.1,24.4,92.69,5146.1,6740.02,29.49
2026-03-09,220,62,28,5.0,73.5,26.5,444641,32.2,46.7,24.4,98.96,5091.5,6795.99,25.5
2026-03-10,220,55,25,6.5,75.0,28.0,444641,30.0,58.3,24.4,87.8,5229.7,6781.48,24.93
2026-03-11,180,40,22,6.5,75.5,29.0,363797,22.9,61.7,20.0,91.98,5167.4,6775.8,24.23
2026-03-12,140,25,20,6.5,76.0,30.0,282953,15.8,63.9,15.6,100.46,5115.8,6672.62,27.29
2026-03-13,150,32,18,6.5,76.7,30.7,303164,18.7,66.1,16.7,103.14,5052.5,6632.19,27.19
2026-03-14,160,38,17,6.5,77.3,31.3,323375,21.1,67.2,17.8,103.14,5052.5,6632.19,27.19
2026-03-15,170,45,15,6.5,78.0,32.0,343586,24.0,69.4,18.9,103.14,5052.5,6632.19,27.19
2026-03-16,177,68,13,7.17,78.7,32.3,357734,31.8,75.4,19.7,100.21,4994.0,6699.38,23.51
2026-03-17,183,92,12,7.83,79.3,32.7,369860,39.8,80.2,20.3,103.42,5001.0,6716.09,22.37
2026-03-18,190,115,10,8.5,80.0,33.0,384008,47.7,86.1,21.1,107.38,4889.9,6624.7,25.09
2026-03-19,180,65,8,8.5,81.0,33.5,363797,31.0,88.3,20.0,108.65,4600.7,6606.49,24.06
2026-03-20,170,15,5,8.5,82.0,34.0,343586,14.3,91.7,18.9,112.19,4570.4,6506.48,26.78
2026-03-21,140,18,5,8.5,82.5,34.5,282953,13.6,91.7,15.6,112.19,4570.4,6506.48,26.78
2026-03-22,110,22,5,8.5,83.0,35.0,222320,13.2,91.7,12.2,112.19,4570.4,6506.48,26.78
2026-03-23,133,23,4,8.67,83.7,35.0,268805,14.8,93.7,14.8,99.94,4404.1,6581.0,26.15
2026-03-24,157,24,3,8.83,84.3,35.0,317312,16.5,95.7,17.4,104.49,4399.3,6556.37,26.95
2026-03-25,180,25,2,9.0,85.0,35.0,363797,18.1,97.8,20.0,102.22,4549.8,6591.9,25.33
2026-03-26,177,48,2,9.0,85.0,35.0,357734,25.3,97.8,19.7,108.01,4375.5,6477.16,27.44
2026-03-27,173,72,2,9.0,85.0,35.0,349649,32.8,97.8,19.2,112.57,4492.0,6368.85,31.05
2026-03-28,170,95,2,9.0,85.0,35.0,343586,40.1,97.8,18.9,112.57,4492.0,6368.85,31.05
2026-03-29,160,58,1,9.0,85.0,35.0,323375,27.6,98.9,17.8,112.57,4492.0,6368.85,31.05
2026-03-30,150,20,0,9.0,85.0,35.0,303164,14.8,100.0,16.7,112.78,4526.0,6343.72,30.61
2026-03-31,115,15,0,9.0,85.0,35.0,232426,11.2,100.0,12.8,118.35,4647.6,6528.52,25.25
2026-04-01,80,10,0,9.0,85.0,35.0,161687,7.7,100.0,8.9,101.16,4783.2,6575.32,24.54
2026-04-02,90,12,0,9.0,85.0,35.0,181898,8.9,100.0,10.0,109.03,4651.5,6582.69,23.87
2026-04-03,100,15,0,9.0,85.0,35.0,202109,10.4,100.0,11.1,109.03,4651.5,6582.69,23.87
2026-04-04,110,18,0,9.0,85.0,35.0,222320,11.9,100.0,12.2,109.03,4651.5,6582.69,23.87
2026-04-05,120,20,0,9.0,85.0,35.0,242531,13.1,100.0,13.3,109.03,4651.5,6582.69,23.87
2026-04-06,127,30,0,9.0,85.0,35.0,256679,16.7,100.0,14.1,109.77,4656.8,6611.83,24.17
2026-04-07,133,40,0,9.0,85.0,35.0,268805,20.3,100.0,14.8,109.27,4657.1,6616.85,25.78
2026-04-08,140,50,0,9.0,85.0,35.0,282953,23.9,100.0,15.6,94.75,4749.5,6782.81,21.04
2026-04-09,75,25,0,9.0,85.0,35.0,151582,12.2,100.0,8.3,95.92,4792.2,6824.66,19.49
2026-04-10,10,0,0,9.0,85.0,35.0,20211,0.6,100.0,1.1,95.2,4761.9,6816.89,19.23
